IDENTIFIER,GRAMMAR_PATTERN,CONTEXT
chosen Overrides,NM NPL,1
LATENCY ARG,NM N,1
Color Map,NM N,2
Post Script Document,NM NM N,2
num groups,NM NPL,1
core,N,1
C File Read Callback,PRE NM NM N,2
int Hex String,NM NM N,5
dividend Discount Mother,NM NM N,4
indexes Of Suspicious Args,NPL P NM NPL,3
previous Stream Id,NM NM N,3
y In,NM N,5
remove Imported Parent Contexts,V NM NM NPL,4
locking,V,5
is partial,V N,1
resume,V,5
size Per Span,N P N,3
Get Home Directory,V NM N,2
MultiCubic Spline,NM N,2
query Timeout In Ms,NM N P NPL,5
original Mocking Details,NM NM NPL,1
Cbor X Content,NM NM N,2
Num Active Tris,NM NM NPL,1
start Up Fix Cost,NM NM NM N,5
height int,NM N,1
format Display Name,V NM N,4
ambient,N,1
QR Detect,NM N,2
animation box,NM N,3
returned Value,NM N,1
Physics Client Example,NM NM N,2
question AST,NM N,5
Run After Params,V NM NPL,2
breaker Consumer,NM N,5
order With,V P,3
bone Positions,NM NPL,5
action View Show Master Pages,NM N V NM NPL,1
OF Android Object,PRE NM N,2
ssl creds,NM NPL,3
File System Archive,NM NM N,2
Clock,N,2
label Pair,NM N,5
str args,NM NPL,3
Configure Timeouts,NM NPL,2
open Class Tags,NM NM NPL,3
Ko Path Point Remove Command Private,PRE NM NM NM N NM,2
dynamic Table Byte Count,NM NM NM N,1
EMPTY DIRECTORY,NM N,1
fast Load Success,VM V N,3
utf8 size,NM N,5
joint Start,NM N,3
build Timestamp,NM N,1
Task Impl,NM N,2
error Mark Type,NM NM N,3
fine priority,NM N,5
Apply Rewriter,NM N,2
check Not Interface,V VM N,4
nla invert combine value,NM V NM N,4
auth Result,NM N,5
language To Rules Files,N P NM NPL,1
TIFF Current Tile,NM NM N,4
im out shape,NM NM N,1
Cache Strategy,NM N,2
matches Any Parent Categories,V DT NM NPL,4
rate Pointer,NM N,5
executors,NPL,3
cache Entity,NM N,3
p global info 32,PRE NM N D,5
wrap If Not Thread Safe,V CJ VM NM N,4
presentation Start From First,N V P NM,4
prim Type,NM N,3
verification Over Time,N P N,3
labels File,NM N,5
zoom x y,NM N N,5
Float,N,4
m execute On Host,PRE V P N,1
Area Info Dialog t,NM NM NM N,2
lp Binary Path Name,PRE NM NM N,5
projects Dir,NM N,5
with Cms Leg Rule,P NM NM N,4
new Rule Text,NM NM N,3
num Keys,NM NPL,5
one Document,NM N,3
png get row bytes,NM V NM NPL,4
build Group Query,V NM N,4
Basket Payoff,NM N,2
lower Boundary Factor,NM NM N,4
frame,N,5
from Local Aabb Min,P NM NM N,3
JFlex Dummy Lexer,PRE NM N,2
existing symlink,NM N,5
Post File,NM N,2
Web Socket Listener,NM NM N,2
handle Pos,NM N,5
RUN DIST CMD PROP,NM NM NM N,1
To String Walker,P N N,2
grpc sock addr make wildcards,PRE NM N V NPL,4
settings,NPL,5
current Slide,NM N,4
trim Parse Trees,V NM NPL,3
m transform Change Args,PRE NM NM NPL,1
rot axis,NM N,5
ARGB Subtract Row C,N V NM N,4
val 32,N D,1
Runner Scheduler,NM N,2
new Files,NM NPL,5
prev Signal Bar Count,NM NM NM N,3
Video Capture DShow,NM NM N,2
Set Add Faces Points,V V NM NPL,4
C Animated Mesh Scene Node,PRE NM NM NM N,2
gauss Lobatto Eps,NM NM N,5
object With To String,N P P N,4
context Length,NM N,1
mock Ref,NM N,1
Clause Matrix,NM N,2
flag,N,1
max basket,NM N,3
len r,NM N,5
Remoting Diagnostics,NM NPL,2
verification Started,N V,4
bind Matrix,NM N,3
Cipher Suite,NM N,2
Func,N,5
typed Array,NM N,5
inv unit scale,NM NM N,3
breakpoint,N,1
present Scaling,NM N,3
b3 Push Profile Timing,PRE V NM N,4
Bridged Value Fun Arg,NM NM NM N,5
Controller Value,NM N,2
Top NGram Record,NM NM N,2
uuid,N,1
Is Bridged Argument,V NM N,1
n repeats,NM NPL,3
after Channel,P N,4
classfile Buffer,NM N,5
server list,NM N,5
extra Inhabitants Mask,NM NM N,3
noise 1,N D,3
Handle If,V CJ,4
do Install Status,V NM N,4
max width,NM N,1
delete,V,4
Mockito Assertion Error,PRE NM N,2
Get Related View Data Row Double,V NM NM NM N NM,4
png init palette transformations,NM V NM NPL,4
src start idx,NM NM N,3
m annotation,PRE N,1
bt Material,PRE N,2
reduction Indices,NM NPL,1
vary Fields,NM NPL,3
Key Status,NM N,2
b d c,NM NM N,5
set Protocol Method,NM NM N,5
raw Arguments,NM NPL,1
MultiPolygon,N,2
number Of Joysticks,N P NPL,3
dst map 2,NM N D,5
m Sky Plane Render Queue,PRE NM NM NM N,1
get Red Adjust 2,V NM N D,4
target Started,N V,4
child Categories,NM NPL,3
get Artificial Op Prec Rule,V NM NM NM N,4
default mat x,NM NM N,5
animations Data,NM NPL,5
table 2 id,N D N,5
prev num hooks,NM NM NPL,3
get Error Listeners,V NM NPL,4
total Merge Throttled Time,NM NM NM N,1
will Return Last Parameter,V V NM N,5
SINH,N,2
require Client Auth,V NM N,4
Inverse Dynamics Example,NM NM N,2
Vertex Position,NM N,2
INVALID HOST,NM N,1
Device Handler,NM N,2
throw Provision Exception If Errors Exist,V NM N CJ NPL V,4
drift term,NM N,3
utc Timestamp Ms,NM NM NPL,3
get Default Atlasing Attributes,V NM NM NPL,4
default instance void,NM NM N,1
f Ptr Out,PRE NM N,3
Parse Job Private,NM N NM,2
get Commit Id,V NM N,4
n d,NM N,1
Data Access Repository Private,NM NM N NM,2
two Factor Response,NM NM N,4
progress out,V N,3
all Open Indices,DT NM NPL,3
nulls Ok,NPL NM,4
new Exchange,NM N,4
INVALID,NM,1
cell Cursor,NM N,3
current Filename,NM N,1
Sei Reader,NM N,2
idle Delay,NM N,1
network Security Policy,NM NM N,3
next func,NM N,5
raw Extra Interfaces,NM NM NPL,3
ATOM,N,1
label Op,NM N,5
get Operations Reads,V NM NPL,4
tot channel,NM N,1
actual Suffix,NM N,3
yield MVs,NM NPL,5
gimp param drawable id init,PRE NM NM N V,4
new order,NM N,3
score Pos Prev,NM N NM,3
Number Start,NM N,1
Layout Data,NM N,2
send String,V N,4
shader data to shader globals,NM NPL P NM NPL,4
need fallback,V N,3
use Shadows 1,V NPL D,5
expand Headers From Request,V NPL P N,4
wrapper Class,NM N,3
received Token Signature,NM NM N,3
is Valid Trailing Closure,V NM NM N,4
repress Ref At Loc,V N P N,4
file Channel,NM N,5
Parallel Computer,NM N,2
first type label,NM NM N,5
tessellate To Mesh,V P N,4
variables,NPL,1
in,N,5
Process,N,2
determine Strictness,V N,4
Get Longitude,V N,4
Image Manager,NM N,2
Install Uncaught Exception Handler,V NM NM N,2
cb result,NM N,3
buffers,NPL,1
Compiler Item,NM N,2
Simple Pressure,NM N,2
Globals As Members Table Reader Info,NPL P NPL NM NM N,2
Chapter Toc Frame,NM NM N,2
Get XCR 0,V N D,4
index Data,NM NPL,1
MINIMUM SUPPORTED VERSION,NM NM N,2
token Type S,NM NM N,3
m sbuf,PRE N,1
property Interval Set,NM NM N,5
C Archive Loader TAR,PRE NM N NM,2
create metadata array,V NM N,4
m is Worker Done,PRE V N NM,1
update area,NM N,3
time spec,NM N,1
Mask Components,NM NPL,2
report No Setter Found,V DT N V,4
html File,NM N,5
face index,NM N,3
sha256 hash,NM N,4
Disk Lru Cache,NM NM N,2
D mat,NM N,5
make HTML Table,V NM N,4
extract Component,V N,4
png do strip channel,NM V V N,4
m weaver,PRE N,1
Stochastic Process,NM N,2
is Android,V N,4
the Invocation,DT N,5
default Role,NM N,5
ongoing Call Notification,NM NM N,1
flags Classifier Pair,NM NM N,5
outer Rule,NM N,5
next Giphy Search Offset,NM NM NM N,1
set Display Index,V NM N,4
Abstract Build Execution,NM NM N,2
get Phrase 1,V N D,4
m Shadow Receiver Pass,PRE NM NM N,1
previous Index,NM N,5
str array len,NM NM N,4
parts Size,NM N,3
original Set,NM N,5
Log Mixed Linear Cubic Interpolation,NM NM NM NM N,2
selection width label,NM NM N,1
get Completed,V NM,4
on Implies,P V,4
enable Materials,V NPL,4
esa,N,5
ref Point Offset Percent,NM NM NM N,1
Suite Method Builder,NM NM N,2
File Path Filter,NM NM N,2
set Tiling,V N,4
data Point Method,NM NM N,5
active Tool Id,NM NM N,3
PREF FONT,NM N,1
missing Classes,NM NPL,3
sorted Indices Buf,NM NM N,5
C At Font,PRE NM N,2
Cluster Update Settings Response,NM NM NM N,2
speaker,N,4
rectangle Index,NM N,3
validate On,V P,5
filter Spec,NM N,3
handled Boxes,NM NPL,1
Val Size,NM N,3
CODES,NPL,1
Get Total Disk Space,V NM NM N,2
WSDLS Solver,NM N,2
m remove User Data Response Args,PRE NM NM NM NM NPL,1
new Verification Mode,NM NM N,5
aead crypter seal,NM NM N,3
do Forward,V V,4
label Regex,NM N,1
is Friend,V N,5
underlying Fx Correlation,NM NM N,5
Serialized Form,NM N,2
Rule Version Attribute,NM NM N,2
biggest Constructor,NM N,4
Comp Mask,NM N,2
tagged Resources,NM NPL,3
